"TMDB_ID","GENRE_NAME"
23398,"Comedy"
23398,"Family"
23398,"Animation"
23398,"Fantasy"
23398,"Music"
26123,"Comedy"
25769,"Action"
25769,"Drama"
25769,"Horror"
25769,"Science Fiction"
25769,"Thriller"
22327,"Drama"
22327,"Comedy"
22327,"Romance"
19901,"Fantasy"
19901,"Horror"
19901,"Action"
19901,"Thriller"
19901,"Science Fiction"
28178,"Drama"
28178,"Family"
25195,"Comedy"
25195,"Romance"
20504,"Action"
20504,"Thriller"
20504,"Science Fiction"
13382,"Animation"
13382,"Family"
20453,"Drama"
20453,"Comedy"
20453,"Romance"
22894,"Horror"
13477,"Comedy"
13477,"Romance"
12201,"Crime"
12201,"Drama"
12201,"Mystery"
12201,"Thriller"
26466,"Horror"
8952,"Comedy"
8952,"Drama"
8952,"Romance"
24469,"Drama"
32856,"Comedy"
32856,"Romance"
7978,"Horror"
7978,"Thriller"
7978,"Drama"
11324,"Drama"
11324,"Thriller"
11324,"Mystery"
32657,"Adventure"
32657,"Fantasy"
32657,"Family"
23742,"Action"
23742,"Comedy"
23742,"Crime"
11439,"Thriller"
11439,"Mystery"
26963,"Animation"
26963,"Family"
26963,"Fantasy"
23172,"Action"
23172,"Comedy"
23172,"Family"
26428,"Adventure"
26428,"Drama"
26428,"History"
29427,"Mystery"
29427,"Horror"
29427,"Action"
22971,"Drama"
22971,"Romance"
22971,"War"
23023,"Comedy"
23023,"Family"
23023,"Fantasy"
10664,"Thriller"
10664,"Horror"
26022,"Drama"
26022,"Romance"
12155,"Family"
12155,"Fantasy"
12155,"Adventure"
22972,"Action"
22972,"Adventure"
22972,"Drama"
22972,"Thriller"
49950,"Thriller"
49950,"Drama"
49950,"Horror"
44945,"Drama"
44945,"Thriller"
59678,"Action"
59678,"Comedy"
59678,"Science Fiction"
59468,"Adventure"
59468,"Comedy"
59468,"Drama"
49444,"Animation"
49444,"Family"
49538,"Action"
49538,"Science Fiction"
49538,"Adventure"
49020,"Drama"
49020,"Comedy"
49020,"Romance"
45658,"Comedy"
45658,"Drama"
45658,"Romance"
55347,"Drama"
55347,"Romance"
55347,"Comedy"
37686,"Thriller"
37686,"Science Fiction"
37686,"Mystery"
44912,"Adventure"
44912,"Action"
44912,"Thriller"
44912,"Science Fiction"
58224,"Comedy"
58224,"Family"
52449,"Comedy"
38356,"Action"
38356,"Science Fiction"
38356,"Adventure"
59861,"Comedy"
59861,"Romance"
59861,"Drama"
38319,"Adventure"
38319,"Fantasy"
38319,"Action"
38319,"Comedy"
22907,"Action"
22907,"Crime"
22907,"Drama"
22907,"Thriller"
38317,"Comedy"
38317,"Romance"
38317,"Family"
51540,"Comedy"
51540,"Crime"
49013,"Animation"
49013,"Family"
49013,"Adventure"
49013,"Comedy"
41479,"Comedy"
41479,"Drama"
42194,"Crime"
42194,"Drama"
42194,"Action"
42194,"Thriller"
42194,"Science Fiction"
38358,"Horror"
38358,"Drama"
38358,"Thriller"
27579,"Crime"
27579,"Drama"
27579,"Thriller"
41210,"Comedy"
41210,"Romance"
41210,"Drama"
23631,"Action"
23631,"Comedy"
23631,"Thriller"
41233,"Drama"
41233,"Romance"
38073,"Comedy"
38073,"Drama"
38073,"Romance"
40264,"Horror"
40264,"Comedy"
35791,"Action"
35791,"Adventure"
35791,"Horror"
35791,"Science Fiction"
37799,"Drama"
45162,"Animation"
45162,"Action"
45162,"Adventure"
23168,"Crime"
23168,"Drama"
23168,"Thriller"
37735,"Comedy"
38167,"Drama"
43949,"Comedy"
43949,"Drama"
43949,"Romance"
33909,"Drama"
33909,"Crime"
41216,"Animation"
41216,"Adventure"
41216,"Family"
41216,"Fantasy"
43923,"Comedy"
43923,"Drama"
41402,"Drama"
41402,"Horror"
41402,"Mystery"
38303,"Comedy"
38303,"Romance"
38408,"Comedy"
38408,"Romance"
38408,"Drama"
42296,"Documentary"
38031,"Comedy"
38031,"Drama"
38031,"Romance"
44113,"Drama"
44639,"Documentary"
45094,"Drama"
42188,"Drama"
42188,"Romance"
42188,"Science Fiction"
45649,"Comedy"
45649,"Drama"
45649,"Fantasy"
45649,"Horror"
45649,"Mystery"
41505,"Horror"
41505,"Mystery"
41505,"Thriller"
16290,"Comedy"
16290,"Documentary"
16290,"Action"
39312,"Documentary"
39312,"War"
45650,"Thriller"
45650,"Adventure"
45650,"Fantasy"
